NameofProgram,WeeksDuration,Hours,HrsWeek,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,Append,URL,JSON,SMORG,onsite,remote,blended
A+ Network+ And Mcsa Desktop Cert. Prep,37,750,20.2,Yes,Yes,Certificate,8510,Yes,IT,A+ NETWORK+ AND MCSA DESKTOP CERT. PREP,,a_network_and_mcsa_desktop_cert_prep,a_network_and_mcsa_desktop_cert_prep_programdata.json,a_network_and_mcsa_desktop_cert_prep.pdf,1,1,1
Accounting Administrator Diploma With Sage,36,725,20.0,Yes,Yes,Diploma,11559,Yes,Accounting,ACCOUNTING ADMINISTRATOR WITH SAGE,,accounting_administrator_with_sage,accounting_administrator_with_sage_programdata.json,accounting_administrator_with_sage_diploma.pdf,1,1,1
Accounting And Business Technology Diploma,41,824,20.1,Yes,Yes,Diploma,12729,Yes,Accounting,ACCOUNTING AND BUSINESS TECHNOLOGY,,accounting_and_business_technology,accounting_and_business_technology_programdata.json,accounting_and_business_technology_diploma.pdf,1,1,1
Accounting And Payroll Administrator Diploma,49,996,20.3,Yes,Yes,Diploma,15180,Yes,Accounting,ACCOUNTING AND PAYROLL ADMINISTRATOR,,accounting_and_payroll_administrator,accounting_and_payroll_administrator_programdata.json,accounting_and_payroll_administrator_diploma.pdf,1,1,1
Accounting Bookkeeper Certificate,29,589,20.3,Yes,Yes,Certificate,8707,Yes,Accounting,ACCOUNTING BOOKKEEPER,,accounting_bookkeeper,accounting_bookkeeper_programdata.json,accounting_bookkeeper_certificate.pdf,1,1,1
Accounting Clerk Certificate,21,424,20.2,Yes,Yes,Certificate,6452,Yes,Accounting,ACCOUNTING CLERK,,accounting_clerk,accounting_clerk_programdata.json,accounting_clerk_certificate.pdf,1,1,1
Addictions Worker Certificate,12,300,25.0,Yes,Yes,Certificate,3079,Yes,Community Support Services,ADDICTIONS WORKER,,addictions_worker,addictions_worker_programdata.json,addictions_worker_certificate.pdf,1,1,1
Administrative Assistant Diploma,35,704,20.1,Yes,Yes,Diploma,10097,Yes,Business,ADMINISTRATIVE ASSISTANT,,administrative_assistant,administrative_assistant_programdata.json,administrative_assistant_diploma.pdf,1,1,1
Business Administration Co-Op Diploma,102,2035,20.0,Yes,Yes,Diploma,21935,Yes,Business,BUSINESS ADMINISTRATION CO-OP,,business_administration_co_op,business_administration_co_op_programdata.json,business_administration_co_op_diploma.pdf,1,1,1
Business Administration Diploma,57,1161,20.4,Yes,Yes,Diploma,17893,Yes,Business,BUSINESS ADMINISTRATION,,business_administration,business_administration_programdata.json,business_administration_diploma.pdf,1,1,1
